원문	빈도	분류	붙는 호칭	겹치는 표기	번역	예문
リセルヴァ・キアンティ	1	인물			리셀바・키안티	에오니아군 인물
シグルト・ジーダマイア	1	인물		ジーダマイア シグルト	시그루트・지더마이어	트랜스벌 황국군 인물
シグルト	1	인물		シグルト・ジーダマイア	시그루트	시그루트・지더마이어의 이름
ジーダマイア	17	인물		シグルト・ジーダマイア	지더마이어	시그루트・지더마이어의 성
クレータ	25	인물			크레이타	에르시올 정비반장
レゾム・メア・ゾム	2	인물		レゾム	레좀・메아・좀	정통 트랜스벌 황국군 인물
レゾム	2	인물		レゾム・メア・ゾム	레좀	레좀・메아・좀의 이름
カミュ・Ｏ・ラフロイグ	4	인물		カミュ	카뮤・O・라프로이그	헬・하운즈 대장
カミュ	6	인물		カミュ・Ｏ・ラフロイグ	카뮤	카뮤・O・라프로이그의 이름
レッド・アイ	4	인물			레드・아이	헬・하운즈 인물
ベルモット・マティン	3	인물		ベルモット	벨모트・마틴	헬・하운즈 인물
ベルモット	4	인물		ベルモット・マティン	벨모트	벨모트・마틴의 이름
ヴィンセント	4	인물			빈센트	브라만슈 상회 인물
ダルノー・ブラマンシュ	5	인물		ダルノー ブラマンシュ	달노・브라만슈	민트의 아버지
ダルノー	21	인물		ダルノー・ブラマンシュ	달노	달노・브라만슈의 이름
ジェラール	13	인물			제라르	트랜스벌 황왕
シスター・バレル	9	인물			시스터・바렐	바닐라의 양부모
マダム・ギャプレー	3	인물			마담・갸프레	점술가 이름
リッキー・カート	3	인물		リッキー	리키・카트	애니즈 프로덕션 아이돌
リッキー	15	인물		リッキー・カート	리키	리키・카트의 이름
トム・ウイング	2	인물			톰・윙	애니즈 프로덕션 인물
ジューン・パーシィ	1	인물		ジューン	준・퍼시	애니즈 프로덕션 인물
ジューン	3	인물		ジューン・パーシィ	준	준・퍼시의 이름
エドガー・クイン	1	인물			에드거・퀸	작중 언급되는 작가
ギネス	6	인물		ギネス・スタウト	기네스	기네스・스타우트의 이름
リセルヴァ	5	인물		リセルヴァ・キアンティ	리셀바	리셀바・키안티의 이름
蘭花・フランボワーズ	4	인물		ランファ・フランボワーズ	란파・프란보와즈	란파의 한자 표기 별칭
エルシオール	378	함선			에르시올	문 엔젤대의 모함
紋章機	249	메카 설정			문장기	엠블렘 프레임의 작중 명칭
ラッキースター	26	GA 시리즈			럭키 스타	GA-001·밀피유 전용 문장기
カンフーファイター	15	GA 시리즈			쿵푸 파이터	GA-002·란파 전용 문장기
トリックマスター	19	GA 시리즈			트릭 마스터	GA-003·민트 전용 문장기
ハッピートリガー	23	GA 시리즈			해피 트리거	GA-004·포르테 전용 문장기
ハーベスター	23	GA 시리즈			하베스터	GA-005·바닐라 전용 문장기
シャープシューター	0	GA 시리즈·후속작			샤프 슈터	GA-006·이 작품 원문에는 미등장
ヘル・ハウンズ	12	기타 메카			헬・하운즈	에오니아군의 문장기형 기체
クロノ・ブレイク・キャノン	24	병기		クロノ・ブレイク	크로노・브레이크・캐논	에르시올의 주포
クロノ・ドライヴ	65	메카 설정			크로노・드라이브	초광속 항법 기관
ドライヴ・アウト	29	메카 설정			드라이브・아웃	크로노 드라이브 종료
ロストテクノロジー	77	세계관			로스트 테크놀로지	잃어버린 고대 기술
白き月	181	세계관			백색 달	트랜스벌의 위성·로스트 테크놀로지 시설
黒き月	121	세계관			흑색 달	에오니아군의 근거지
時空震	2	세계관		クロノ・クェイク	시공진	우주 규모의 재해
クロノ・クェイク	2	세계관		時空震	크로노・퀘이크	시공진의 읽기
ムーンエンジェル	5	조직		エンジェル	문 엔젤대	주역 부대
エンジェル隊	0	조직		エンジェル	엔젤대	문맥상 문 엔젤대를 가리킬 때 사용
トランスバール皇国	0	조직·국가		トランスバール	트랜스벌 황국	주요 국가
